filterID,netmass
KHC0897,0.0112
KHC0898,0.0203
KHC0899,0.0418
KHC0900,0.0603
KHC0901,0.0365
KHC0902,0.0394
KHC0903,0.0052
KHC0904,0.0359
KHC0905,0.0542
KHC0906,0.0123
KHC0907,0.186
KHC0908,0.0921
KHC0909,0.0292
KHC0910,0.0275
KHC0911,0.0243
KHC0912,0.0311
KHC0913,0.0021
KHC0914,0.0471
KHC0915,0.0754
KHC0916,0.0404
KHC0917,0.0308
KHC0918,0.0191
KHC0919,0.0231
KHC0920,0.0045
KHC0921,0.0523
KHC0922,0.0576
KHC0923,0.0315
KHC0924,0.0425
KHC0925,-0.0004
KHC0926,0.056
KHC0927,0.1134
KHC0928,0.0606
KHC0929,0.0294
KHC0930,0.0393
KHC0931,0.0371
KHC0932,0.0353
KHC0933,0.0025
KHC0934,0.0279
KHC0935,0.05
KHC0936,0.041
KHC0937,0.0448
KHC0938,0.0475
KHC0939,0.0264
KHC0940,0.022
KHC0941,0.0261
KHC0942,0.0016
KHC0943,0.0459
KHC0944,0.0639
KHC0945,0.0783
KHC0946,0.0494
KHC0947,
KHC0948,0.0117
KHC0949,0.0109
KHC0950,0.0326
KHC0951,0.1011
KHC0952,0.0766
KHC0953,0.0714
KHC0954,0.0988
KHC0955,0.0649
KHC0956,0.0324
KHC0957,0.0822
KHC0958,0.041
KHC0959,0.0429
KHC0960,0.0027
KHC0961,0.0233
KHC0962,0.0306
KHC0963,0.0079
KHC0964,0.0385
KHC0965,0.0088
KHC0966,0.046
KHC0967,0.03
KHC0968,0.041
KHC0969,0.0237
KHC0970,0.0704
KHC0971,0.0547
KHC0972,0.0332
KHC0973,0.0131
KHC0974,0.0691
KHC0975,0.0189
KHC0976,0.0159
KHC0978,0.0073
KHC0979,0.0891
KHC0980,0.0359
KHC0981,0.0377
KHC0982,0.0979
KHC0983,0.1004
KHC0984,0.0476
KHC0985,0.0314
KHC0986,0.0338
KHC0987,0.0084
KHC0988,0.0325
KHC0989,0.0025
KHC0990,0.0637
KHC0991,0.0368
KHC0992,0.0677
KHC0993,0.0424
KHC0994,0.0125
KHC0995,0.0117
KHC0996,0.0544
KHC0997,0.0656
KHC0998,0.0558
KHC0999,0.0628
KHC1000,0.0314
KHC1001,0.0129
KHC1002,0.0698
KHC1003,0.0201
KHC1004,0.0579
KHC1005,
KHC1006,0.0701
KHC1007,0.0667
KHC1008,0.0825
KHC1009,0.0455
KHC1010,0.062
KHC1011,0.1088
KHC1012,0.0211
KHC1013,0.1584
KHC1014,0.0835
KHC1015,0.0336
KHC1016,0.0689
KHC1017,0.0162
KHC1018,0.0725
KHC1019,0.089
KHC1020,0.14
KHC1021,0.1499
KHC1022,0.1191
KHC1023,0.1297
KHC1024,0.0917
KHC1025,0.2224
KHC1026,0.1569
KHC1027,0.1038
KHC1028,0.1763
KHC1029,0.1764
KHC1030,0.1435
KHC1031,0.1408
KHC1032,0.138
KHC1033,0.0558
KHC1034,0.1436
KHC1035,0.1295
KHC1036,0.1423
KHC1037,0.1525
KHC1038,0.1186
KHC1039,0.1007
KHC1040,0.0589
KHC1041,0.0418
KHC1042,0.0999
KHC1043,0.122
KHC1044,0.1165
KHC1045,0.1525
KHC1046,0.152
KHC1047,0.0793
KHC1048,0.0838
KHC1049,0.0843
KHC1050,0.077
KHC1051,0.0501
KHC1052,0.0832
KHC1053,0.0872
KHC1054,0.0926
KHC1055,0.0821
KHC1056,0.0725
KHC1058,0.0873
KHC1059,0.0329
KHC1060,0.1179
KHC1061,0.0867
KHC1062,0.0058
KHC1063,0.058
KHC1064,0.122
KHC1065,0.1051
KHC1066,0.0699
KHC1067,0.0896
KHC1069,0.0615
KHC1070,0.0991
KHC1071,0.0868
KHC1072,0.1776
KHC1073,0.1292
KHC1074,0.1652
KHC1075,0.2154
KHC1076,0.2151
KHC1077,0.2242
KHC1078,0.1204
KHC1079,0.1239
KHC1080,0.2264
KHC1081,0.1424
KHC1082,0.3637
KHC1083,0.0267
KHC1084,0.0003
KHC1085,0.1768
KHC1086,0.111
KHC1087,0.1371
KHC1088,0.1483
KHC1089,0.0931
KHC1090,0.1468
KHC1091,0.1017
KHC1092,0.1278
KHC1093,0.0137
KHC1094,0.072
KHC1095,0.0608
KHC1096,0.0632
KHC1097,0.076
KHC1098,0.087
KHC1099,0.0622
KHC1100,0.0803
KHC1101,0.0878
KHC1102,0.0897
KHC1103,0.0076
KHC1104,0.1301
KHC1105,0.083
KHC1106,0.0795
KHC1107,0.0708
KHC1108,0.0547
KHC1109,0.0568
KHC1110,0.1061
KHC1111,0.0817
KHC1112,0.0908
KHC1113,0.0837
KHC1114,0.0825
KHC1115,0.0753
KHC1116,0.0854
KHC1117,0.068
KHC1118,0.0772
KHC1119,0.027
KHC1120,0.0678
KHC1121,0.186
KHC1122,0.1756
KHC1123,0.1538
KHC1125,0.1775
KHC1126,0.1397
KHC1127,0.1652
KHC1128,0.2114
KHC1129,0.1202
KHC1130,0.0458
KHC1131,0.133
KHC1132,0.0259
KHC1133,0.0971
KHC1134,0.0415
KHC1135,0.0323
KHC1136,0.0598
KHC1137,0.0668
KHC1138,0.0403
KHC1139,0.0737
KHC1140,0.0574
KHC1141,0.0397
KHC1142,0.062
KHC1143,0.0701
KHC1144,0.065
KHC1145,0.0622
KHC1146,0.0931
KHC1147,0.0287
KHC1148,0.032
KHC1149,0.0461
KHC1150,0.093
KHC1151,0.0514
KHC1152,0.0751
KHC1153,0.0676
KHC1154,0.0638
KHC1155,0.0919
KHC1156,0.0767
KHC1157,0.0986
KHC1158,0.0651
KHC1159,0.048
KHC1160,
KHC1161,0.0426
KHC1162,0.0716
KHC1163,0.0727
KHC1164,0.0259
KHC1165,0.0598
KHC1166,0.0463
KHC1167,0.0856
KHC1168,0.0856
KHC1169,0.0057
KHC1170,0.0088
KHC1171,0.0881
KHC1172,0.0599
KHC1173,
KHC1174,0.0085
KHC1175,0.073
KHC1176,0.0485
KHC1177,0.0342
KHC1178,0.0531
KHC1179,0.0539
KHC1180,0.0521
KHC1181,0.0862
KHC1182,0.0708
KHC1183,0.0864
KHC1184,0.0858
KHC1185,0.074
KHC1186,0.0651
KHC1187,0.075
KHC1188,0.0397
KHC1189,0.032
KHC1190,0.099
KHC1191,0.0269
KHC1192,0.0136
KHC1193,0.0453
KHC1194,0.042
KHC1195,0.029
KHC1196,0.0468
KHC1197,0.0669
KHC1198,0.0601
KHC1199,0.0726
KHC1200,0.0588
KHC1201,0.0548
KHC1202,0.0318
KHC1203,0.0768
KHC1204,0.0673
KHC1205,0.083
KHC1206,0.0817
KHC1207,0.104
KHC1208,0.1017
KHC1209,0.0266
KHC1210,0.0876
KHC1211,0.067
KHC1212,0.0803
KHC1213,0.091
KHC1214,0.0336
KHC1215,0.0638
KHC1216,0.0407
KHC1217,0.0564
KHC1218,0.0447
KHC1219,0.0301
KHC1220,0.0071
KHC1221,0.0357
KHC1222,0.0424
KHC1223,0.0344
KHC1224,0.072
KHC1225,0.0242
KHC1226,0.1065
KHC1227,0.0683
KHC1228,0.0729
KHC1229,0.0362
KHC1230,0.079
KHC1231,0.0417
KHC1232,0.0771
KHC1233,0.0519
KHC1234,0.0363
KHC1235,0.0449
KHC1236,0.0403
KHC1237,0.0339
KHC1238,0.0381
KHC1239,0.0932
KHC1240,0.0905
KHC1241,0.0342
KHC1242,0.0908
KHC1243,0.0637
KHC1244,0.0592
KHC1245,0.0616
KHC1246,0.0615
KHC1247,0.0262
KHC1248,0.082
KHC1249,0.0204
KHC1250,0.0104
KHC1251,0.217
KHC1252,0.0453
KHC1253,0.0576
KHC1254,0.06
KHC1257,0.0796
KHC1258,0.0457
KHC1259,0.0313
KHC1260,0.0334
KHC1261,0.0012
KHC1262,0.0816
KHC1263,0.0011
KHC1264,0.0052
KHC1265,0.0782
KHC1266,0.0367
KHC1267,0.0341
KHC1268,0.0397
KHC1269,0.0553
KHC1270,0.0542
KHC1271,0.0437
KHC1272,0.0501
KHC1273,0.0381
KHC1274,0.0922
KHC1275,0.0615
KHC1276,0.0681
KHC1277,0.0774
